Country,Country Code,Year,GDP
Lithuania,LTU,2012,42927454291.0
Luxembourg,LUX,2012,59776383527.0
Mexico,MEX,2012,1201090000000.0
Netherlands,NLD,2012,838923000000.0
New Zealand,NZL,2012,176207000000.0
Norway,NOR,2012,509506000000.0
Poland,POL,2012,495237000000.0
Portugal,PRT,2012,216224000000.0
Slovak Republic,SVK,2012,94623731086.0
Slovenia,SVN,2012,46577793184.0
Spain,ESP,2012,1324750000000.0
Sweden,SWE,2012,552484000000.0
Switzerland,CHE,2012,686420000000.0
Republic of Turkiye,TUR,2012,880556000000.0
United Kingdom,GBR,2012,2706340000000.0
United States,USA,2012,16254000000000.0
Argentina,ARG,2012,545982000000.0
Brazil,BRA,2012,2465190000000.0
Bulgaria,BGR,2012,54300857424.0
People's Republic of China,CHN,2012,8532230000000.0
Croatia,HRV,2012,57369359295.0
Cyprus,CYP,2012,25048659900.0
India,IND,2012,1827640000000.0
Malta,MLT,2012,9462289606.0
North Macedonia,MKD,2012,9745251126.0
Romania,ROU,2012,179133000000.0
Serbia,SRB,2012,43309252921.0
Australia,AUS,2013,1576380000000.0
Austria,AUT,2013,430191000000.0
Belgium,BEL,2013,521791000000.0
Canada,CAN,2013,1846600000000.0
Chile,CHL,2013,277239000000.0
Colombia,COL,2013,382116000000.0
Costa Rica,CRI,2013,50949672206.0
Czech Republic,CZE,2013,211686000000.0
Denmark,DNK,2013,343584000000.0
Estonia,EST,2013,25115753366.0
Finland,FIN,2013,271362000000.0
France,FRA,2013,2811880000000.0
Germany,DEU,2013,3733800000000.0
Greece,GRC,2013,238908000000.0
Hungary,HUN,2013,135684000000.0
Iceland,ISL,2013,16125060515.0
Ireland,IRL,2013,238341000000.0
Italy,ITA,2013,2141920000000.0
Japan,JPN,2013,5212330000000.0
Korea,KOR,2013,1370800000000.0
Latvia,LVA,2013,30204783462.0
Lithuania,LTU,2013,46523420074.0
Luxembourg,LUX,2013,65203276467.0
Mexico,MEX,2013,1274440000000.0
Netherlands,NLD,2013,877173000000.0
New Zealand,NZL,2013,190907000000.0
Norway,NOR,2013,522762000000.0
Poland,POL,2013,515765000000.0
Portugal,PRT,2013,226434000000.0
Slovak Republic,SVK,2013,98935222175.0
Slovenia,SVN,2013,48415657265.0
Spain,ESP,2013,1355580000000.0
Sweden,SWE,2013,586842000000.0
Switzerland,CHE,2013,706235000000.0
Republic of Turkiye,TUR,2013,957783000000.0
United Kingdom,GBR,2013,2786320000000.0
United States,USA,2013,16843200000000.0
Argentina,ARG,2013,552025000000.0
Brazil,BRA,2013,2472810000000.0
Bulgaria,BGR,2013,55810138436.0
People's Republic of China,CHN,2013,9570410000000.0
Croatia,HRV,2013,59032066092.0
Cyprus,CYP,2013,23961144906.0
India,IND,2013,1856720000000.0
Malta,MLT,2013,10551600478.0
North Macedonia,MKD,2013,10817712139.0
Romania,ROU,2013,189790000000.0
Serbia,SRB,2013,48394239475.0
Australia,AUS,2014,1467550000000.0
Austria,AUT,2014,442585000000.0
Belgium,BEL,2014,535390000000.0
Canada,CAN,2014,1805750000000.0
Chile,CHL,2014,259405000000.0
Colombia,COL,2014,381112000000.0
Costa Rica,CRI,2014,52016408951.0
Czech Republic,CZE,2014,209359000000.0
Denmark,DNK,2014,352994000000.0
Estonia,EST,2014,26634083965.0
Finland,FIN,2014,274863000000.0
France,FRA,2014,2855960000000.0
Germany,DEU,2014,3889090000000.0
Greece,GRC,2014,235458000000.0
Hungary,HUN,2014,141034000000.0
Iceland,ISL,2014,17867662178.0
Ireland,IRL,2014,259171000000.0
Italy,ITA,2014,2162010000000.0
Japan,JPN,2014,4896990000000.0
Korea,KOR,2014,1484320000000.0
Latvia,LVA,2014,31386896487.0
Lithuania,LTU,2014,48533659592.0
Luxembourg,LUX,2014,68804811898.0
Mexico,MEX,2014,1315350000000.0
Netherlands,NLD,2014,892168000000.0
New Zealand,NZL,2014,201313000000.0
Norway,NOR,2014,498410000000.0
Poland,POL,2014,539088000000.0
Portugal,PRT,2014,229902000000.0
Slovak Republic,SVK,2014,101437000000.0
Slovenia,SVN,2014,49997186439.0
Spain,ESP,2014,1371820000000.0
Sweden,SWE,2014,581964000000.0
Switzerland,CHE,2014,726538000000.0
Republic of Turkiye,TUR,2014,938953000000.0
United Kingdom,GBR,2014,3065220000000.0
United States,USA,2014,17550700000000.0
Argentina,ARG,2014,526320000000.0
Brazil,BRA,2014,2455990000000.0
Bulgaria,BGR,2014,57082011260.0
People's Republic of China,CHN,2014,10475700000000.0
Croatia,HRV,2014,58423981441.0
Cyprus,CYP,2014,23226782251.0
India,IND,2014,2039130000000.0
Malta,MLT,2014,11626278730.0
North Macedonia,MKD,2014,11362272838.0
Romania,ROU,2014,199712000000.0
Serbia,SRB,2014,47062206678.0
Australia,AUS,2015,1350620000000.0
Austria,AUT,2015,381971000000.0
Belgium,BEL,2015,462336000000.0
Canada,CAN,2015,1556510000000.0
Chile,CHL,2015,242497000000.0
Colombia,COL,2015,293482000000.0
Costa Rica,CRI,2015,56441917653.0
Czech Republic,CZE,2015,188033000000.0
Denmark,DNK,2015,302673000000.0
Estonia,EST,2015,22890762090.0
Finland,FIN,2015,234534000000.0
France,FRA,2015,2439190000000.0
Germany,DEU,2015,3357590000000.0
Greece,GRC,2015,195684000000.0
Hungary,HUN,2015,125174000000.0
Iceland,ISL,2015,17517210519.0
Ireland,IRL,2015,291775000000.0
Italy,ITA,2015,1836640000000.0
Japan,JPN,2015,4444930000000.0
Korea,KOR,2015,1465770000000.0
Latvia,LVA,2015,27263090547.0
Lithuania,LTU,2015,41435533340.0
Luxembourg,LUX,2015,60071584216.0
Mexico,MEX,2015,1171870000000.0
Netherlands,NLD,2015,765573000000.0
New Zealand,NZL,2015,178064000000.0
Norway,NOR,2015,385802000000.0
Poland,POL,2015,477111000000.0
Portugal,PRT,2015,199394000000.0
Slovak Republic,SVK,2015,88900883131.0
Slovenia,SVN,2015,43107506024.0
Spain,ESP,2015,1196160000000.0
Sweden,SWE,2015,505104000000.0
Switzerland,CHE,2015,694118000000.0
Republic of Turkiye,TUR,2015,864317000000.0
United Kingdom,GBR,2015,2934860000000.0
United States,USA,2015,18206000000000.0
Argentina,ARG,2015,594749000000.0
Brazil,BRA,2015,1802210000000.0
Bulgaria,BGR,2015,50781996713.0
People's Republic of China,CHN,2015,11061600000000.0
Croatia,HRV,2015,50242783066.0
Cyprus,CYP,2015,19909190059.0
India,IND,2015,2103590000000.0
Malta,MLT,2015,11091423499.0
North Macedonia,MKD,2015,10064515432.0
Romania,ROU,2015,177882000000.0
Serbia,SRB,2015,39655958843.0
Australia,AUS,2016,1206540000000.0
Austria,AUT,2016,395837000000.0
Belgium,BEL,2016,476063000000.0
Canada,CAN,2016,1527990000000.0
Chile,CHL,2016,249299000000.0
Colombia,COL,2016,282825000000.0
Costa Rica,CRI,2016,58847016045.0
Czech Republic,CZE,2016,196272000000.0
Denmark,DNK,2016,313116000000.0
Estonia,EST,2016,24072829277.0
Finland,FIN,2016,240771000000.0
France,FRA,2016,2472960000000.0
Germany,DEU,2016,3469850000000.0
Greece,GRC,2016,193148000000.0
Hungary,HUN,2016,128610000000.0
Iceland,ISL,2016,20793168031.0
Ireland,IRL,2016,299091000000.0
Italy,ITA,2016,1877070000000.0
Japan,JPN,2016,5003680000000.0
Korea,KOR,2016,1500110000000.0
Latvia,LVA,2016,28083597512.0
Lithuania,LTU,2016,43047309306.0
Luxembourg,LUX,2016,62216885436.0
Mexico,MEX,2016,1078490000000.0
Netherlands,NLD,2016,784060000000.0
New Zealand,NZL,2016,188838000000.0
Norway,NOR,2016,368827000000.0
Poland,POL,2016,470023000000.0
Portugal,PRT,2016,206426000000.0
Slovak Republic,SVK,2016,89952699525.0
Slovenia,SVN,2016,44766722791.0
Spain,ESP,2016,1233550000000.0
Sweden,SWE,2016,515655000000.0
Switzerland,CHE,2016,687895000000.0
Republic of Turkiye,TUR,2016,869693000000.0
United Kingdom,GBR,2016,2699660000000.0
United States,USA,2016,18695100000000.0
Argentina,ARG,2016,557531000000.0
Brazil,BRA,2016,1795700000000.0
Bulgaria,BGR,2016,53953897624.0
People's Republic of China,CHN,2016,11233300000000.0
Croatia,HRV,2016,52397494687.0
Cyprus,CYP,2016,21046951516.0
India,IND,2016,2294800000000.0
Malta,MLT,2016,11668253265.0
North Macedonia,MKD,2016,10672471861.0
Romania,ROU,2016,185287000000.0
Serbia,SRB,2016,40692643373.0
Australia,AUS,2017,1326520000000.0
Austria,AUT,2017,417261000000.0
Belgium,BEL,2017,502765000000.0
Canada,CAN,2017,1649270000000.0
Chile,CHL,2017,276365000000.0
Colombia,COL,2017,311884000000.0
Costa Rica,CRI,2017,60516043590.0
Czech Republic,CZE,2017,218629000000.0
Denmark,DNK,2017,332121000000.0
Estonia,EST,2017,26924385103.0
Finland,FIN,2017,255648000000.0
France,FRA,2017,2595150000000.0
Germany,DEU,2017,3690850000000.0
Greece,GRC,2017,199844000000.0
Hungary,HUN,2017,143112000000.0
Iceland,ISL,2017,24728285177.0
Ireland,IRL,2017,336378000000.0
Italy,ITA,2017,1961800000000.0
Japan,JPN,2017,4930840000000.0
Korea,KOR,2017,1623900000000.0
Latvia,LVA,2017,30483806018.0
Lithuania,LTU,2017,47758736932.0
Luxembourg,LUX,2017,65712180343.0
Mexico,MEX,2017,1158910000000.0
Netherlands,NLD,2017,833870000000.0
New Zealand,NZL,2017,206624000000.0
Norway,NOR,2017,398394000000.0
Poland,POL,2017,524646000000.0
Portugal,PRT,2017,221358000000.0
Slovak Republic,SVK,2017,95649966261.0
Slovenia,SVN,2017,48589100043.0
Spain,ESP,2017,1313250000000.0
Sweden,SWE,2017,541019000000.0
Switzerland,CHE,2017,695201000000.0
Republic of Turkiye,TUR,2017,858996000000.0
United Kingdom,GBR,2017,2683400000000.0
United States,USA,2017,19477300000000.0
Argentina,ARG,2017,643629000000.0
Brazil,BRA,2017,2063510000000.0
Bulgaria,BGR,2017,59199447421.0
People's Republic of China,CHN,2017,12310400000000.0
Croatia,HRV,2017,56323836170.0
Cyprus,CYP,2017,22946726164.0
India,IND,2017,2651470000000.0
Malta,MLT,2017,13489380931.0
North Macedonia,MKD,2017,11307058382.0
Romania,ROU,2017,210147000000.0
Serbia,SRB,2017,44179055280.0
Australia,AUS,2018,1428290000000.0
Austria,AUT,2018,454991000000.0
Belgium,BEL,2018,543299000000.0
Canada,CAN,2018,1725330000000.0
Chile,CHL,2018,295403000000.0
Colombia,COL,2018,334198000000.0
Costa Rica,CRI,2018,62420165100.0
Czech Republic,CZE,2018,249001000000.0
Denmark,DNK,2018,356841000000.0
Estonia,EST,2018,30624720196.0
Finland,FIN,2018,275708000000.0
France,FRA,2018,2790960000000.0
Germany,DEU,2018,3974440000000.0
Greece,GRC,2018,212049000000.0
Hungary,HUN,2018,160565000000.0
Iceland,ISL,2018,26264127687.0
Ireland,IRL,2018,385737000000.0
Italy,ITA,2018,2091930000000.0
Japan,JPN,2018,5037840000000.0
Korea,KOR,2018,1724850000000.0
Latvia,LVA,2018,34429023435.0
Lithuania,LTU,2018,53751411409.0
Luxembourg,LUX,2018,71000359760.0
Mexico,MEX,2018,1222410000000.0
Netherlands,NLD,2018,914043000000.0
New Zealand,NZL,2018,211953000000.0
Norway,NOR,2018,437000000000.0
Poland,POL,2018,588783000000.0
Portugal,PRT,2018,242313000000.0
Slovak Republic,SVK,2018,106138000000.0
Slovenia,SVN,2018,54177882426.0
Spain,ESP,2018,1421700000000.0
Sweden,SWE,2018,555455000000.0
Switzerland,CHE,2018,725569000000.0
Republic of Turkiye,TUR,2018,778472000000.0
United Kingdom,GBR,2018,2878150000000.0
United States,USA,2018,20533100000000.0
Argentina,ARG,2018,524820000000.0
Brazil,BRA,2018,1916950000000.0
Bulgaria,BGR,2018,66363537115.0
People's Republic of China,CHN,2018,13894800000000.0
Croatia,HRV,2018,62316840750.0
Cyprus,CYP,2018,25596474965.0
India,IND,2018,2702930000000.0
Malta,MLT,2018,15298771847.0
North Macedonia,MKD,2018,12683070061.0
Romania,ROU,2018,243317000000.0
Serbia,SRB,2018,50640650221.0
Australia,AUS,2019,1392230000000.0
Austria,AUT,2019,444621000000.0
Belgium,BEL,2019,535831000000.0
Canada,CAN,2019,1742020000000.0
Chile,CHL,2019,278585000000.0
Colombia,COL,2019,323110000000.0
Costa Rica,CRI,2019,64417670083.0
Czech Republic,CZE,2019,252548000000.0
Denmark,DNK,2019,346499000000.0
Estonia,EST,2019,31081901909.0
Finland,FIN,2019,268515000000.0
France,FRA,2019,2728870000000.0
Germany,DEU,2019,3888230000000.0
Greece,GRC,2019,205257000000.0
Hungary,HUN,2019,163989000000.0
Iceland,ISL,2019,24826102120.0
Ireland,IRL,2019,399322000000.0
Italy,ITA,2019,2011300000000.0
Japan,JPN,2019,5123320000000.0
Korea,KOR,2019,1651420000000.0
Latvia,LVA,2019,34343961073.0
Lithuania,LTU,2019,54751510088.0
Luxembourg,LUX,2019,69825641851.0
Mexico,MEX,2019,1269010000000.0
Netherlands,NLD,2019,910194000000.0
New Zealand,NZL,2019,213435000000.0
Norway,NOR,2019,404941000000.0
Poland,POL,2019,596055000000.0
Portugal,PRT,2019,239987000000.0
Slovak Republic,SVK,2019,105720000000.0
Slovenia,SVN,2019,54331588482.0
Spain,ESP,2019,1394320000000.0
Sweden,SWE,2019,533880000000.0
Switzerland,CHE,2019,721369000000.0
Republic of Turkiye,TUR,2019,759937000000.0
United Kingdom,GBR,2019,2857060000000.0
United States,USA,2019,21381000000000.0
Argentina,ARG,2019,447755000000.0
Brazil,BRA,2019,1873270000000.0
Bulgaria,BGR,2019,68915875215.0
People's Republic of China,CHN,2019,14279900000000.0
Croatia,HRV,2019,62327983580.0
Cyprus,CYP,2019,25944504646.0
India,IND,2019,2831550000000.0
Malta,MLT,2019,15725847979.0
North Macedonia,MKD,2019,12606338449.0
Romania,ROU,2019,251019000000.0
Serbia,SRB,2019,51514222382.0
Australia,AUS,2020,1326900000000.0
Austria,AUT,2020,435225000000.0
Belgium,BEL,2020,525212000000.0
Canada,CAN,2020,1645420000000.0
Chile,CHL,2020,252727000000.0
Colombia,COL,2020,270300000000.0
Costa Rica,CRI,2020,62158002233.0
Czech Republic,CZE,2020,245975000000.0
Denmark,DNK,2020,355222000000.0
Estonia,EST,2020,31370395573.0
Finland,FIN,2020,271892000000.0
France,FRA,2020,2639010000000.0
Germany,DEU,2020,3889670000000.0
Greece,GRC,2020,188926000000.0
Hungary,HUN,2020,157182000000.0
Iceland,ISL,2020,21694674810.0
Ireland,IRL,2020,425852000000.0
Italy,ITA,2020,1896760000000.0
Japan,JPN,2020,5040110000000.0
Korea,KOR,2020,1644310000000.0
Latvia,LVA,2020,34601740323.0
Lithuania,LTU,2020,56846622904.0
Luxembourg,LUX,2020,73992591285.0
Mexico,MEX,2020,1090520000000.0
Netherlands,NLD,2020,909793000000.0
New Zealand,NZL,2020,211735000000.0
Norway,NOR,2020,362198000000.0
Poland,POL,2020,599449000000.0
Portugal,PRT,2020,229032000000.0
Slovak Republic,SVK,2020,106697000000.0
Slovenia,SVN,2020,53706800044.0
Spain,ESP,2020,1276960000000.0
Sweden,SWE,2020,547054000000.0
Switzerland,CHE,2020,739914000000.0
Republic of Turkiye,TUR,2020,720289000000.0
United Kingdom,GBR,2020,2704610000000.0
United States,USA,2020,21060500000000.0
Argentina,ARG,2020,385540000000.0
Brazil,BRA,2020,1448560000000.0
Bulgaria,BGR,2020,70240275010.0
People's Republic of China,CHN,2020,14687700000000.0
Croatia,HRV,2020,57472012427.0
Cyprus,CYP,2020,25008448886.0
India,IND,2020,2667690000000.0
Malta,MLT,2020,14933066819.0
North Macedonia,MKD,2020,12363580535.0
Romania,ROU,2020,251362000000.0
Serbia,SRB,2020,53356480454.0
Australia,AUS,2021,1552670000000.0
Austria,AUT,2021,480368000000.0
Belgium,BEL,2021,594104000000.0
Canada,CAN,2021,1988340000000.0
Chile,CHL,2021,317059000000.0
Colombia,COL,2021,314464000000.0
Costa Rica,CRI,2021,64282438667.0
Czech Republic,CZE,2021,281778000000.0
Denmark,DNK,2021,398303000000.0
Estonia,EST,2021,37191166152.0
Finland,FIN,2021,297302000000.0
France,FRA,2021,2957880000000.0
Germany,DEU,2021,4259930000000.0
Greece,GRC,2021,214874000000.0
Hungary,HUN,2021,181848000000.0
Iceland,ISL,2021,25602419210.0
Ireland,IRL,2021,504183000000.0
Italy,ITA,2021,2107700000000.0
Japan,JPN,2021,4940880000000.0
Korea,KOR,2021,1810960000000.0
Latvia,LVA,2021,39853501580.0
Lithuania,LTU,2021,66445256585.0
Luxembourg,LUX,2021,85506243834.0
Mexico,MEX,2021,1272840000000.0
Netherlands,NLD,2021,1012850000000.0
New Zealand,NZL,2021,249886000000.0
Norway,NOR,2021,482175000000.0
Poland,POL,2021,679445000000.0
Portugal,PRT,2021,253663000000.0
Slovak Republic,SVK,2021,116527000000.0
Slovenia,SVN,2021,61748586535.0
Spain,ESP,2021,1427380000000.0
Sweden,SWE,2021,635664000000.0
Switzerland,CHE,2021,800640000000.0
Republic of Turkiye,TUR,2021,819035000000.0
United Kingdom,GBR,2021,3131380000000.0
United States,USA,2021,23315100000000.0
Argentina,ARG,2021,487227000000.0
Brazil,BRA,2021,1608980000000.0
Bulgaria,BGR,2021,84056312734.0
People's Republic of China,CHN,2021,17734100000000.0
Croatia,HRV,2021,68955083280.0
Cyprus,CYP,2021,28407867534.0
India,IND,2021,3176300000000.0
Malta,MLT,2021,17364044944.0
North Macedonia,MKD,2021,13825049832.0
Romania,ROU,2021,284088000000.0
Serbia,SRB,2021,63082047650.0
